Ball,Frequency,Last Seen
1,121,4  Draws Ago
2,112,6  Draws Ago
3,130,7  Draws Ago
4,108,1  Draw Ago
5,114,3  Draws Ago
6,144,5  Draws Ago
7,126,1  Draw Ago
8,134,9  Draws Ago
9,126,2  Draws Ago
10,130,4  Draws Ago
11,127,14  Draws Ago
12,133,4  Draws Ago
13,128,13  Draws Ago
14,120,4  Draws Ago
15,129,7  Draws Ago
16,120,2  Draws Ago
17,126,1  Draw Ago
18,126,3  Draws Ago
19,134,2  Draws Ago
20,108,2  Draws Ago
21,128,6  Draws Ago
22,142,1  Draw Ago
23,132,14  Draws Ago
24,121,3  Draws Ago
25,116,3  Draws Ago
26,138,17  Draws Ago
27,136,2  Draws Ago
28,122,3  Draws Ago
29,142,3  Draws Ago
30,128,23  Draws Ago
31,135,1  Draw Ago
32,117,8  Draws Ago
33,106,10  Draws Ago
34,109,4  Draws Ago
35,127,2  Draws Ago
36,104,5  Draws Ago
37,133,1  Draw Ago
38,126,1  Draw Ago
39,124,5  Draws Ago
40,130,6  Draws Ago
41,114,5  Draws Ago
42,124,2  Draws Ago
